100|Szymon|Kolec|21112121213412412|1|0,000000|2980,320068
101|Iza|Bolec|21214232134612412|1|100000,000000|100000,328125
102|Ada|Molec|21112121724792412|1|259990,000000|298090,187500
103|Asia|Tynk|13544121213412412|2|0,000000|2980,320068
104|Ela|Tapeta|2111211213412412|2|10,000000|1982,000000
105|Kasia|Mur|21112121213412412|3|0,000000|2131,320068
106|Basia|Lech|21112121213412412|3|66660,000000|2980,320068
107|Marta|Lis|21112121213412412|3|77770,000000|2980,320068
108|Kaja|Sad|21112121213412412|3|10,000000|2980,320068
109|Basia|Klaun|21112121213412412|3|0,000000|2980,320068
110|Adam|Gil|21112121213412412|4|0,000000|2980,320068
111|Piotr|Kolec|21112121213412412|4|0,000000|2980,320068
112|Ola|Kupa|21112121213412412|1|0,000000|2980,320068
113|Filip|Lupa|21112121213412412|1|0,000000|2980,320068
114|Ania|Mop|21112121213412412|2|50000,000000|2980,320068
115|Dawid|Worek|211112121213412412|2|0,000000|2980,320068
116|Olga|Krym|21100021213412412|2|0,000000|2980,320068
117|Ania|Wrum|21134521213412412|2|400000,000000|2980,320068
118|Ania|Bimbak|27772121213412412|1|0,000000|2980,320068
118|Maria|Beryl|26662121213412412|1|0,000000|2980,320068
119|Kamil|Aparat|88812121213412412|4|0,000000|2980,320068
120|Robert|Kolec|99912121213412412|4|3330,000000|2980,320068
121|Hania|Jochna|77712121213412412|5|0,000000|2980,320068
122|Ania|Hem|21134521213412412|5|0,000000|2980,320068
123|Ala|Ulak|21117921213412412|5|0,000000|2980,320068
